ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
8784237149961904,2021-07-01,0.014277626
8784237149961904,2021-07-01,0.014302947
8784237149961904,2021-07-01,0.01840037
8784237149961904,2021-08-01,0.014589726
8784237149961904,2021-08-01,0.0101842405
8784237149961904,2021-08-01,0.012350313
8784237149961904,2021-08-01,0.0101842405
8784237149961904,2021-08-01,0.010226695
8784237149961904,2021-08-01,0.011765867
8784237149961904,2021-08-01,0.02392904
8784237149961904,2021-08-01,0.018375717
8784237149961904,2021-09-01,0.0077839755
8784237149961904,2021-09-01,0.007914952
8784237149961904,2021-09-01,0.0073478613
8784237149961904,2021-10-01,0.008942281
8784237149961904,2021-10-01,0.008923407
8784237149961904,2021-10-01,0.0063097826
8784237149961904,2021-10-01,0.006249119
8784237149961904,2021-10-01,0.0085892165
8784237149961904,2021-10-01,0.0045547667
8784237149961904,2021-11-01,0.004945223
8784237149961904,2021-11-01,0.005150228
8784237149961904,2021-11-01,0.0057471013
8784237149961904,2021-11-01,0.006020642
8784237149961904,2021-11-01,0.005591303
15070048310374146,2021-07-01,0.0479653
15070048310374146,2021-08-01,0.040754713
15070048310374146,2021-08-01,0.040754713
15070048310374146,2021-09-01,0.038757
15070048310374146,2021-10-01,0.026456581
15070048310374146,2021-10-01,0.04594825
18719614953021044,2021-08-01,0.070435226
18719614953021044,2021-09-01,0.09763343
39547025441582855,2021-07-01,0.5969252
39547025441582855,2021-08-01,0.020349924
39547025441582855,2021-08-01,0.017121768
39547025441582855,2021-08-01,0.009029798
39547025441582855,2021-09-01,0.01847959
39547025441582855,2021-09-01,0.019027216
39547025441582855,2021-09-01,0.011136118
39547025441582855,2021-10-01,0.012299326
39547025441582855,2021-10-01,0.00986658
39547025441582855,2021-11-01,0.0065178475
49632905576538927,2021-07-01,0.021892842
49632905576538927,2021-08-01,0.0116425315
49632905576538927,2021-11-01,0.02800114
51762959302415533,2021-09-01,0.023462532
51762959302415533,2021-10-01,0.018495021
66220087398241662,2021-08-01,0.01736995
66220087398241662,2021-09-01,0.013339437
66220087398241662,2021-09-01,0.016249226
66220087398241662,2021-09-01,0.007622783
66220087398241662,2021-10-01,0.008896214
66220087398241662,2021-10-01,0.008528127
66220087398241662,2021-10-01,0.007788805
66220087398241662,2021-11-01,0.0076571885
66220087398241662,2021-11-01,0.007591105
66220087398241662,2021-11-01,0.0054944023
69766362497027920,2021-07-01,0.020701746
69766362497027920,2021-08-01,0.02063053
69766362497027920,2021-08-01,0.020124951
69766362497027920,2021-09-01,0.009743237
69766362497027920,2021-09-01,0.0106513
69766362497027920,2021-09-01,0.010905068
69766362497027920,2021-10-01,0.017048346
86110062990790869,2021-07-01,0.032332778
86110062990790869,2021-07-01,0.040402036
86110062990790869,2021-08-01,0.038015828
86110062990790869,2021-08-01,0.014118769
86110062990790869,2021-09-01,0.020915044
86110062990790869,2021-09-01,0.017270604
86110062990790869,2021-09-01,0.21187745
86110062990790869,2021-09-01,0.012871761
86110062990790869,2021-10-01,0.012609552
86110062990790869,2021-10-01,0.016052922
89342157110910412,2021-10-01,0.024185982
89342157110910412,2021-10-01,0.02448826
93982185886107798,2021-07-01,0.023920411
93982185886107798,2021-07-01,0.030620972
93982185886107798,2021-07-01,0.030620972
93982185886107798,2021-07-01,0.007984119
93982185886107798,2021-08-01,0.010150893
93982185886107798,2021-08-01,0.0059656734
93982185886107798,2021-09-01,0.017889952
93982185886107798,2021-09-01,0.008858519
93982185886107798,2021-10-01,0.015964454
93982185886107798,2021-10-01,0.016217884
93982185886107798,2021-11-01,0.1469735
93982185886107798,2021-11-01,0.013187511
107343823625119033,2021-07-01,0.021560779
107343823625119033,2021-08-01,0.01677892
107343823625119033,2021-08-01,0.024470141
107343823625119033,2021-08-01,0.006745958
107343823625119033,2021-08-01,0.007354695
107343823625119033,2021-08-01,0.0074403677
107343823625119033,2021-09-01,0.0073051983
107343823625119033,2021-09-01,0.0073051983
107343823625119033,2021-09-01,0.0064212936
107343823625119033,2021-09-01,0.007100145
107343823625119033,2021-09-01,0.13249919
107343823625119033,2021-10-01,0.019108197
107343823625119033,2021-11-01,0.006859628
107343823625119033,2021-11-01,0.007279285
107343823625119033,2021-11-01,0.010668695
113538242419211987,2021-07-01,0.027819168
113538242419211987,2021-11-01,0.032754887
121658372387044248,2021-07-01,0.04873753
121658372387044248,2021-07-01,0.04480251
121658372387044248,2021-07-01,0.04350992
121658372387044248,2021-08-01,0.010076974
121658372387044248,2021-08-01,0.009538343
121658372387044248,2021-08-01,0.011969509
121658372387044248,2021-10-01,0.06889979
121658372387044248,2021-10-01,0.011942235
121658372387044248,2021-10-01,0.014765216
121658372387044248,2021-11-01,0.046161007
165658847908185334,2021-07-01,0.019435616
165658847908185334,2021-10-01,0.02039383
170089315547146305,2021-07-01,0.09045352
170089315547146305,2021-07-01,0.067138344
170089315547146305,2021-07-01,0.08741758
170089315547146305,2021-07-01,0.021027513
170089315547146305,2021-08-01,0.017485047
170089315547146305,2021-08-01,0.014296729
170089315547146305,2021-08-01,0.016887112
170089315547146305,2021-08-01,0.018245174
170089315547146305,2021-08-01,0.018890267
170089315547146305,2021-08-01,0.018758161
170089315547146305,2021-08-01,0.012819495
170089315547146305,2021-08-01,0.017273244
170089315547146305,2021-08-01,0.013005834
170089315547146305,2021-08-01,0.14588387
170089315547146305,2021-08-01,0.012135337
170089315547146305,2021-08-01,0.012135337
170089315547146305,2021-09-01,0.022215653
170089315547146305,2021-09-01,0.022269744
170089315547146305,2021-09-01,0.017239166
170089315547146305,2021-09-01,0.014694697
170089315547146305,2021-09-01,0.010801714
170089315547146305,2021-09-01,0.013355946
170089315547146305,2021-10-01,0.008050937
170089315547146305,2021-10-01,0.0078178225
170089315547146305,2021-10-01,0.008986078
170089315547146305,2021-10-01,0.006199103
170089315547146305,2021-10-01,0.006199103
170089315547146305,2021-10-01,0.0078106993
170089315547146305,2021-10-01,0.008986078
170089315547146305,2021-11-01,0.01232808
170089315547146305,2021-11-01,0.009768721
170089315547146305,2021-11-01,0.007158036
170089315547146305,2021-11-01,0.01747323
175003104385133396,2021-07-01,0.3312227
175003104385133396,2021-07-01,0.02628198
175003104385133396,2021-08-01,0.027910914
175003104385133396,2021-09-01,0.013331375
175003104385133396,2021-09-01,0.013583376
175003104385133396,2021-10-01,0.013055465
175003104385133396,2021-10-01,0.0114702135
175003104385133396,2021-10-01,0.35190612
175003104385133396,2021-11-01,0.011222549
180672270337706285,2021-07-01,0.2228624
180672270337706285,2021-07-01,0.21427375
180672270337706285,2021-07-01,0.21427375
180672270337706285,2021-07-01,0.11683404
180672270337706285,2021-07-01,0.11431713
180672270337706285,2021-07-01,0.11456995
180672270337706285,2021-07-01,0.11431713
180672270337706285,2021-08-01,0.07732276
180672270337706285,2021-08-01,0.103277616
180672270337706285,2021-08-01,0.09608114
180672270337706285,2021-08-01,0.08712667
180672270337706285,2021-09-01,0.16414759
180672270337706285,2021-09-01,0.12426445
180672270337706285,2021-10-01,0.012743197
180672270337706285,2021-10-01,0.10568784
180672270337706285,2021-10-01,0.020121401
180672270337706285,2021-10-01,0.101027824
187117706370645370,2021-07-01,0.024373543
187117706370645370,2021-07-01,0.012820574
187117706370645370,2021-07-01,0.011902247
187117706370645370,2021-07-01,0.009305616
187117706370645370,2021-07-01,0.02697846
187117706370645370,2021-08-01,0.017938627
187117706370645370,2021-08-01,0.0066459933
187117706370645370,2021-08-01,0.008542089
187117706370645370,2021-08-01,0.013987432
187117706370645370,2021-09-01,0.0054983487
187117706370645370,2021-09-01,0.0067077097
187117706370645370,2021-09-01,0.015439722
187117706370645370,2021-09-01,0.004981901
187117706370645370,2021-09-01,0.005860152
187117706370645370,2021-09-01,0.0059794257
187117706370645370,2021-09-01,0.005783207
187117706370645370,2021-09-01,0.0058784764
187117706370645370,2021-10-01,0.0061873784
187117706370645370,2021-10-01,0.00920095
187117706370645370,2021-10-01,0.006102575
187117706370645370,2021-10-01,0.009554344
187117706370645370,2021-10-01,0.007861972
187117706370645370,2021-10-01,0.007934243
187117706370645370,2021-11-01,0.005185463
187117706370645370,2021-11-01,0.004558941
187117706370645370,2021-11-01,0.004929906
187117706370645370,2021-11-01,0.013191377
191536915328669008,2021-07-01,0.25608182
191536915328669008,2021-07-01,0.24176095
191536915328669008,2021-10-01,0.22770847
209314261782935157,2021-10-01,0.21556552
209477776078372134,2021-07-01,0.012468786
209477776078372134,2021-07-01,0.010083811
209477776078372134,2021-07-01,0.011981119
209477776078372134,2021-07-01,0.010619299
226405871752897670,2021-07-01,0.07098848
226405871752897670,2021-08-01,0.018977456
226405871752897670,2021-08-01,0.018977456
226405871752897670,2021-08-01,0.0063785277
226405871752897670,2021-08-01,0.006687008
226405871752897670,2021-08-01,0.010303388
226405871752897670,2021-08-01,0.0075434917
226405871752897670,2021-09-01,0.004952258
226405871752897670,2021-09-01,0.0075272876
226405871752897670,2021-11-01,0.0073196488
234898976850399181,2021-07-01,0.01677715
234898976850399181,2021-07-01,0.016687974
234898976850399181,2021-07-01,0.014755251
234898976850399181,2021-08-01,0.0091068745
234898976850399181,2021-09-01,0.009483084
234898976850399181,2021-09-01,0.007008569
234898976850399181,2021-10-01,0.0077312565
234898976850399181,2021-10-01,0.12377161
234898976850399181,2021-10-01,0.00658716
234898976850399181,2021-11-01,0.0075126966
234898976850399181,2021-11-01,0.0075126966
238894451665334246,2021-11-01,0.018814297
255928150711119413,2021-09-01,0.12190193
257162352336759783,2021-07-01,0.014323297
257162352336759783,2021-08-01,0.013863055
257162352336759783,2021-08-01,0.0140437605
257162352336759783,2021-08-01,0.0066162418
257162352336759783,2021-08-01,0.009115442
257162352336759783,2021-09-01,0.006416267
257162352336759783,2021-09-01,0.007413796
